STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-21,,81,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-22,,82,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-23,,84,57,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-24,,81,69,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-25,,78,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-26,,81,55,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-27,,79,67,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-28,,80,68,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-29,,79,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-30,,79,60,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-31,,88,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-01,,89,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-02,,86,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-03,,75,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-04,,76,47,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-05,,77,51,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-06,,83,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-07,,87,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-08,,87,69,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-09,,76,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-10,,73,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-11,,74,45,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-12,,77,47,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-13,,79,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-14,,78,50,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-15,,89,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-16,,79,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-17,,83,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-18,,73,53,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-19,,82,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-20,,92,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-21,,69,50,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-22,,64,46,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-23,,56,51,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-24,,67,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-25,,70,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-26,,64,42,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-27,,60,36,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-28,,62,30,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-29,,71,42,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-09-30,,72,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-01,,70,55,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-02,,75,50,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-03,,77,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-04,,79,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-05,,73,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-06,,61,44,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-10-07,,48,31,
